,tweet_id,text
11461,1268825293113917440,7.) Researchers have found out how to stop an aggressive form of breast cancer.
133061,1295296966482522112,"Just been chatting to @sadienine on @BBCEssex about lowering the age of screening for Breast Cancer from 50.
Knowing what’s normal for your body is so important at any age.#breastcancer"
76918,1314626683325091840,"Scientists based at our Research Centre, @ICR_London, have found that a gene, called ID2, could be helping breast cancer spread to the brain. 

https://t.co/nsLYsZSiCi"
19000,1289670137939886080,"@FredaJones666 @VictoriaPeckham @RosieDuffield1 @HackneyAbbott Female prostate cancer occurs, but extremely rarely. It appears to be less common than breast cancer is in men. That's the reason why screening for each condition is targeted as it is: cost-effectiveness.

https://t.co/HepEuQjFBo documents a case."
17841,1291192334944804864,"Hung Khong, MD, of @MoffittNews, on antiestrogen and immunotherapy combinations in ER-positive, HER2-negative breast cancer #bcsm
https://t.co/ASiu26eScj https://t.co/J7yTF6KR9F"
87423,1259966405316882432,"@Postsubman Ladies!!!!pls don't inconvenient yourself all in the name of pleasing a guy
for Christ sake 28+ abortions....I cant even advice birth control pills or contraceptives(too much causes breast cancer).... If he can't use condom let him carry his dick abeg
Let him carry it n go
Plss"
12783,1276799779507367936,"#Bisphosphonates at the doses recommended for #osteoporosis are associated with improved #survival in #older #postmenopausal #women with early #breastcancer.

Looking for the best #healthcare in #saludelamujer.

https://t.co/UevHqnM8jm https://t.co/BLq5qkE4v9"
98082,1274804314628710400,I knew it was bad. But I had no idea the disparity was this great. Makes it look like sex sells when the top two are gender related. #LCSM tough I am also a breast cancer patient.
119593,1274754660142854144,mestetic breast cancer https://t.co/vBGS06FUFh
111504,1304641050405896192,@askjillian Thank you for sharing your story. I am a breast cancer survivor as well thanks to early detection from my yearly mammogram.
43727,1310188908701978624,"@kellicurrie Congratulations. This words of yours, has given hope to many out there currently living with breast cancer"
124051,1293660746409271296,"Don't miss the Brilliant Minds webinar on August 19th! Andrea Greene  will share the story of her battle with breast cancer and ICRF-funded scientist Dr. Yossi Shiloh of Tel Aviv University will discuss how radiation kills cancer cells.

Register now: https://t.co/c1YrkzSMfC https://t.co/3dIkI07Abc"
31860,1275442540880080896,"THREAD 38/100 

Hey Tatiana M. Prowell- a Internist &amp; medical oncologist- who is a board-certified internist and medical oncologist specialising in breast cancer. She reminds us that we are enough. Absolutely!

Ft &amp; thx @tmprowell
https://t.co/WRDMKtXDkT https://t.co/ir0Zn5nmND"
17975,1293248500713631744,Welcome to @ClevelandClinic #CleClinicCancer #breastcancer
64233,1287738171346755584,Did cellphone cause woman's breast cancer? https://t.co/tWPzT5icTe via @YouTube
4892,1310584691490263040,Join me and help change the future of breast cancer! https://t.co/znfERTCwDw
86732,1314685510795681792,what does breast cancer have to do with rape jokes
65479,1293633089814626304,"@bmorris16 @BeschlossDC @laweez Gopalan was a breast-cancer scientist who emigrated from India in 1960 to pursue a doctorate in endocrinology at UC Berkeley. Harris is a Stanford University emeritus professor of economics, who emigrated from British Jamaica in 1961 for graduate study in economics at UC Berkeley"
29429,1268945798982561792,"@FRMResearchDay 1 Breast cancer treatments are invasive, affecting the survivor considerably. Also, the pressure to conform to unrealistic societal beauty standards may lead to body image disturbance in breast cancer survivors (BCS). #FRMResearchDay @MargieMcNeely (supervisor) &amp; Naomi Dolgoy https://t.co/pYyocn49qn"
125297,1313970188103168000,@dbongino Dan ! You ve got this! I have seen many patients do well ... you are a survivor! 🙏🏻❤️🙏🏻I was diagnosed with breast cancer 7 years ago . It’s such a difficult thing to hear. Love and prayers surrounding you !
81004,1267789600535150592,@SmokingSkills_ https://t.co/9igqE60x58 smoking kills bhaiya please help my mother she is suffering from breast cancer we need urgent help please help bhaiya
89055,1276237707036016640,"""Three are now hospitalized, including two elderly family members and one woman battling breast cancer.""
https://t.co/W2r2Wz9DZQ"
48572,1260859421607034880,"Went to Glenfield hospital yesterday for my wife’s after care of breast cancer. Once again Dr Frank Trollman took care of her,a marvellous man who as well as treating her,lifts her morale and instils confidence.I thank this man for his help and advice.Thank you again"
49954,1275399422927650816,"It's National PINK Day! Pink has often been the color of femininity: pink ribbons for breast cancer, pink pussyhat for me too, pink balloons: ""It's a girl!"" Mary Kay top sellers drove pink cadillacs. Here are 3 songs re the floral color. Name them. https://t.co/lN1xnVnitL https://t.co/I9F23Hw414"
40519,1267728243790094336,Biotheranostics’ Breast Cancer Index® predicts benefit from two-and-a-half versus five years of extended endocrine therapy in HR+ breast cancer patients treated in the IDEAL trial https://t.co/a4VCC4mqW2
103859,1288924773909696512,when ur doctor tells u u have cystic breast tissue while ur grandma is going thru chemo for breast cancer 😍😍😍
